Age,Gender,Weight (kg),Height (cm),Activity,Duration (minutes),Calories
20,Female,51,188,Jump rope,30,313.65
28,Male,86,177,Cycling,20,229.33
30,Male,87,180,Walking,35,177.62
57,Male,66,164,Jump rope,65,879.45
34,Male,64,167,Walking,45,168.0
33,Female,95,186,Running,10,155.17
39,Female,78,165,Yoga,20,65.0
41,Female,97,163,Walking,40,226.33
58,Male,76,150,Yoga,20,63.33
27,Male,67,177,Swimming,40,312.67
36,Male,100,151,Running,90,1470.0
30,Female,77,187,Swimming,50,449.17
40,Female,53,186,Running,80,692.53
55,Female,76,190,Running,50,620.67
22,Female,45,164,Yoga,30,56.25
37,Female,65,160,Swimming,70,530.83
46,Male,69,171,Walking,40,161.0
42,Female,94,180,Jump rope,45,867.15
40,Female,79,150,Running,70,903.23
37,Female,79,169,Yoga,25,82.29
58,Male,97,172,Yoga,45,181.88
48,Female,94,166,Walking,75,411.25
38,Female,46,163,Jump rope,55,518.65
34,Female,75,163,Swimming,60,525.0
47,Male,58,180,Yoga,45,108.75
44,Female,97,185,Running,15,237.65
45,Female,97,175,Swimming,20,226.33
42,Female,45,185,Cycling,50,300.0
53,Male,57,171,Jump rope,40,467.4
38,Male,73,185,Walking,40,170.33
39,Female,49,151,Jump rope,15,150.68
57,Female,64,157,Swimming,20,149.33
39,Female,51,160,Running,80,666.4
34,Female,85,168,Swimming,20,198.33
55,Male,48,180,Yoga,90,180.0
36,Male,81,152,Jump rope,80,1328.4
21,Male,67,166,Cycling,25,223.33
56,Female,45,164,Yoga,80,150.0
57,Female,75,179,Cycling,75,750.0
34,Male,47,184,Swimming,70,383.83
40,Male,58,153,Running,90,852.6
24,Male,51,150,Jump rope,90,940.95
50,Female,65,190,Yoga,15,40.62
41,Female,98,185,Yoga,45,183.75
32,Female,82,164,Swimming,40,382.67
58,Female,45,158,Running,65,477.75
30,Male,52,170,Walking,85,257.83
59,Male,65,169,Walking,35,132.71
30,Male,87,159,Yoga,55,199.38
47,Male,68,168,Running,35,388.73
42,Male,47,166,Cycling,15,94.0
46,Male,88,155,Cycling,50,586.67
22,Female,80,159,Jump rope,50,820.0
45,Male,58,162,Jump rope,45,535.05
35,Female,45,189,Running,65,477.75
19,Female,90,170,Jump rope,75,1383.75
54,Female,64,187,Yoga,75,200.0
42,Female,46,181,Jump rope,10,94.3
24,Male,59,189,Walking,20,68.83
44,Female,98,181,Running,55,880.37
40,Female,71,184,Running,85,985.72
55,Female,87,182,Walking,55,279.12
59,Male,52,158,Walking,20,60.67
51,Female,80,164,Running,10,130.67
50,Male,50,157,Jump rope,70,717.5
47,Male,83,189,Cycling,30,332.0
35,Male,75,159,Jump rope,10,153.75
55,Male,60,188,Yoga,90,225.0
48,Male,64,184,Swimming,85,634.67
21,Female,99,165,Yoga,20,82.5
52,Female,58,173,Running,35,331.57
29,Female,50,155,Cycling,75,500.0
56,Male,64,162,Walking,40,149.33
34,Female,99,177,Cycling,75,990.0
56,Male,69,154,Swimming,85,684.25
36,Male,51,156,Jump rope,35,365.93
28,Male,94,174,Jump rope,20,385.4
22,Male,48,151,Swimming,85,476.0
